symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2019-11-18 00:00:00+00:00,212.28,213.35,203.77,203.89,14382963,5.281213033,5.3078330535,5.0694967954,5.0724822183,575318520,0.0,1.0
NVDA,2019-11-19 00:00:00+00:00,207.99,211.98,205.65,211.03,10384506,5.1744841659,5.2737494758,5.1162684202,5.2501148782,415380240,0.0,1.0
NVDA,2019-11-20 00:00:00+00:00,211.18,214.55,206.56,207.07,11825438,5.2538466568,5.337687282,5.1389078768,5.151595924,473017520,0.0,1.0
NVDA,2019-11-21 00:00:00+00:00,210.18,213.24,209.31,211.0,7209730,5.228968133,5.3050964158,5.2073238173,5.2493685225,288389200,0.0,1.0
NVDA,2019-11-22 00:00:00+00:00,210.89,212.96,209.94,211.09,5602470,5.2466318849,5.2981304292,5.2229972873,5.2516075897,224098800,0.0,1.0
NVDA,2019-11-25 00:00:00+00:00,221.21,221.41,215.52,216.04,12683686,5.5033782505,5.5083539553,5.3618194501,5.3747562825,507347440,0.0,1.0
NVDA,2019-11-26 00:00:00+00:00,217.0,220.69,216.74,220.5,9642023,5.3986396653,5.4904414182,5.3921712491,5.4857144986,385680920,0.0,1.0
NVDA,2019-11-27 00:00:00+00:00,218.24,220.05,217.18,218.67,5410718,5.4334695987,5.47853274,5.4070790297,5.4441752068,216428720,0.16,1.0
NVDA,2019-11-29 00:00:00+00:00,216.74,218.14,215.78,217.0,3538924,5.3961244539,5.4309799223,5.3722235612,5.4025976123,141556960,0.0,1.0
NVDA,2019-12-02 00:00:00+00:00,209.25,217.0,208.64,216.46,9346742,5.2096476976,5.4025976123,5.194460672,5.3891533602,373869680,0.0,1.0
NVDA,2019-12-03 00:00:00+00:00,207.66,207.82,200.37,201.87,11853653,5.1700618441,5.1740453262,4.9885644404,5.0259095852,474146120,0.0,1.0
NVDA,2019-12-04 00:00:00+00:00,209.42,211.92,208.27,211.02,6840459,5.2138801473,5.2761220553,5.1852488697,5.2537149684,273618360,0.0,1.0
NVDA,2019-12-05 00:00:00+00:00,208.74,210.93,207.51,210.3,4628444,5.1969503484,5.2514742597,5.1663273296,5.2357892989,185137760,0.0,1.0
NVDA,2019-12-06 00:00:00+00:00,212.17,213.49,211.12,211.52,5810457,5.2823462461,5.3152099735,5.2562046447,5.26616335,232418280,0.0,1.0
NVDA,2019-12-09 00:00:00+00:00,212.17,214.37,210.9,211.25,5378320,5.2823462461,5.3371191251,5.2507273568,5.259441224,215132800,0.0,1.0
NVDA,2019-12-10 00:00:00+00:00,213.98,216.06,211.26,213.38,6417228,5.3274093875,5.3791946549,5.2596901916,5.3124713296,256689120,0.0,1.0
NVDA,2019-12-11 00:00:00+00:00,217.34,217.56,214.3,214.4,5850247,5.4110625118,5.4165397997,5.3353763517,5.337866028,234009880,0.0,1.0
NVDA,2019-12-12 00:00:00+00:00,224.07,224.8,215.82,216.18,10152084,5.5786177281,5.5967923652,5.3732194317,5.3821822665,406083360,0.0,1.0
NVDA,2019-12-13 00:00:00+00:00,223.99,228.98,221.82,224.19,11374183,5.576625987,5.7008608353,5.5226000109,5.5816053396,454967320,0.0,1.0
NVDA,2019-12-16 00:00:00+00:00,225.15,228.06,224.77,225.9,8032684,5.6055062323,5.6779558132,5.5960454623,5.6241788047,321307360,0.0,1.0
NVDA,2019-12-17 00:00:00+00:00,228.29,229.2,225.52,225.9,8081598,5.6836820687,5.7063381232,5.6147180347,5.6241788047,323263920,0.0,1.0
NVDA,2019-12-18 00:00:00+00:00,229.51,231.94,229.35,229.69,8606969,5.7140561198,5.7745552544,5.7100726377,5.7185375372,344278760,0.0,1.0
NVDA,2019-12-19 00:00:00+00:00,235.46,236.0,230.7,230.9,11327674,5.8621918608,5.8756361129,5.743683268,5.7486626206,453106960,0.0,1.0
NVDA,2019-12-20 00:00:00+00:00,239.37,240.39,237.36,238.13,15084607,5.9595382049,5.9849329033,5.9094957109,5.9286662185,603384280,0.0,1.0
NVDA,2019-12-23 00:00:00+00:00,238.82,241.81,238.39,240.52,8884815,5.9458449851,6.0202863071,5.9351393769,5.9881694825,355392600,0.0,1.0
NVDA,2019-12-24 00:00:00+00:00,238.62,239.31,236.82,238.2,3471597,5.9408656325,5.9580443991,5.8960514587,5.9304089919,138863880,0.0,1.0
NVDA,2019-12-26 00:00:00+00:00,239.19,240.32,238.0,238.76,4580451,5.9550567875,5.9831901299,5.9254296393,5.9443511793,183218040,0.0,1.0
NVDA,2019-12-27 00:00:00+00:00,236.87,240.34,235.81,239.8,6370251,5.8972962969,5.9836880652,5.8709057279,5.970243813,254810040,0.0,1.0
NVDA,2019-12-30 00:00:00+00:00,232.32,236.2,231.06,235.99,6456178,5.7840160244,5.8806154656,5.7526461028,5.8753871453,258247120,0.0,1.0
NVDA,2019-12-31 00:00:00+00:00,235.3,235.68,230.13,230.9,5780283,5.8582083787,5.8676691487,5.729492113,5.7486626206,231211320,0.0,1.0
NVDA,2020-01-02 00:00:00+00:00,239.91,239.91,236.72,238.75,5941969,5.972982457,5.972982457,5.8935617824,5.9441022117,237678760,0.0,1.0
NVDA,2020-01-03 00:00:00+00:00,236.07,237.83,234.1,235.1,5144308,5.8773788863,5.9211971896,5.8283322629,5.853229026,205772320,0.0,1.0
NVDA,2020-01-06 00:00:00+00:00,237.06,237.27,231.27,232.32,6572812,5.9020266819,5.9072550022,5.757874423,5.7840160244,262912480,0.0,1.0
NVDA,2020-01-07 00:00:00+00:00,239.93,241.77,236.39,238.2,7980144,5.9734803923,6.0192904365,5.8853458506,5.9304089919,319205760,0.0,1.0
NVDA,2020-01-08 00:00:00+00:00,240.38,242.04,238.15,239.76,6931017,5.9846839357,6.0260125626,5.9291641538,5.9692479425,277240680,0.0,1.0
NVDA,2020-01-09 00:00:00+00:00,243.02,245.93,240.86,243.85,6386053,6.0504113905,6.1228609714,5.996634382,6.071075704,255442120,0.0,1.0
NVDA,2020-01-10 00:00:00+00:00,244.32,248.55,243.75,247.33,7911560,6.0827771827,6.188090491,6.0685860276,6.1577164399,316462400,0.0,1.0
NVDA,2020-01-13 00:00:00+00:00,251.98,252.99,246.75,247.66,7739168,6.2734863887,6.2986321195,6.1432763172,6.1659323717,309566720,0.0,1.0
NVDA,2020-01-14 00:00:00+00:00,247.28,251.28,246.75,250.26,8989483,6.1564716017,6.2560586545,6.1432763172,6.230663956,359579320,0.0,1.0
NVDA,2020-01-15 00:00:00+00:00,245.57,248.69,244.53,247.79,6577636,6.1138981367,6.1915760378,6.0880055029,6.1691689509,263105440,0.0,1.0
NVDA,2020-01-16 00:00:00+00:00,248.93,249.17,246.78,247.72,7104791,6.197551261,6.2035264841,6.1440232201,6.1674261775,284191640,0.0,1.0
NVDA,2020-01-17 00:00:00+00:00,249.28,250.0,247.37,249.7,6344764,6.2062651281,6.2241907976,6.1587123104,6.2167217686,253790560,0.0,1.0
NVDA,2020-01-21 00:00:00+00:00,247.94,249.29,246.57,247.81,5321260,6.1729034654,6.2065140957,6.1387948998,6.1696668862,212850400,0.0,1.0
NVDA,2020-01-22 00:00:00+00:00,250.11,253.59,249.0,249.76,5980967,6.2269294415,6.3135701774,6.1992940344,6.2182155744,239238680,0.0,1.0
NVDA,2020-01-23 00:00:00+00:00,252.86,253.2,248.15,251.72,6112861,6.2953955403,6.3038604398,6.1781317857,6.2670132303,244514440,0.0,1.0
NVDA,2020-01-24 00:00:00+00:00,250.48,259.5,248.3,257.5,9337839,6.2361412439,6.4607100479,6.1818663002,6.4109165215,373513560,0.0,1.0
NVDA,2020-01-27 00:00:00+00:00,240.2,242.25,232.23,238.24,11763354,5.9802025183,6.0312408829,5.7817753157,5.9314048625,470534160,0.0,1.0
NVDA,2020-01-28 00:00:00+00:00,247.97,249.27,240.71,242.85,7774401,6.1736503683,6.2060161605,5.9928998675,6.0461789408,310976040,0.0,1.0
NVDA,2020-01-29 00:00:00+00:00,245.54,248.84,243.94,247.39,6486279,6.1131512338,6.1953105523,6.0733164127,6.1592102457,259451160,0.0,1.0
NVDA,2020-01-30 00:00:00+00:00,245.81,246.35,239.4,241.61,7262590,6.1198733598,6.1333176119,5.9602851078,6.0153069544,290503600,0.0,1.0
NVDA,2020-01-31 00:00:00+00:00,236.43,244.45,234.75,243.97,9260493,5.8863417211,6.0860137619,5.8445151589,6.0740633155,370419720,0.0,1.0
NVDA,2020-02-03 00:00:00+00:00,240.33,241.11,235.45,235.7,6398205,5.9834390975,6.0028585728,5.8619428932,5.868167084,255928200,0.0,1.0
NVDA,2020-02-04 00:00:00+00:00,247.13,247.9,244.02,246.03,6788589,6.1527370872,6.1719075949,6.0753081537,6.1253506477,271543560,0.0,1.0
NVDA,2020-02-05 00:00:00+00:00,250.76,252.4,247.41,251.99,5205502,6.2431123376,6.2839430292,6.1597081809,6.2737353563,208220080,0.0,1.0
NVDA,2020-02-06 00:00:00+00:00,254.25,254.25,248.88,252.14,5457051,6.3300020411,6.3300020411,6.1963064228,6.2774698708,218282040,0.0,1.0
NVDA,2020-02-07 00:00:00+00:00,251.59,253.53,250.57,252.64,4743803,6.2637766511,6.3120763716,6.2383819526,6.2899182524,189752120,0.0,1.0
NVDA,2020-02-10 00:00:00+00:00,262.97,263.0,252.3,252.5,13240194,6.5471018162,6.5478487191,6.2814533529,6.2864327056,529607760,0.0,1.0
NVDA,2020-02-11 00:00:00+00:00,267.89,272.5,264.83,267.32,15963922,6.6695938911,6.7843679694,6.5934097957,6.655402736,638556880,0.0,1.0
NVDA,2020-02-12 00:00:00+00:00,272.54,272.8,268.45,270.01,9366118,6.7853638399,6.7918369983,6.6835360784,6.722375029,374644720,0.0,1.0
NVDA,2020-02-13 00:00:00+00:00,270.78,273.48,269.11,270.21,13200384,6.7415455367,6.8087667973,6.6999679422,6.7273543817,528015360,0.0,1.0
NVDA,2020-02-14 00:00:00+00:00,289.79,294.97,286.0,287.26,26048093,7.2148330049,7.3437982383,7.1204742724,7.1518441941,1041923720,0.0,1.0
NVDA,2020-02-18 00:00:00+00:00,296.57,297.31,284.86,285.64,15547025,7.3836330594,7.4020566641,7.0920919624,7.1115114377,621881000,0.0,1.0
NVDA,2020-02-19 00:00:00+00:00,314.7,315.41,301.49,301.49,17358281,7.835011376,7.8526880779,7.5061251343,7.5061251343,694331240,0.0,1.0
NVDA,2020-02-20 00:00:00+00:00,308.7,316.32,296.35,312.77,20251259,7.6856307969,7.8753441324,7.3781557715,7.786960623,810050360,0.0,1.0
NVDA,2020-02-21 00:00:00+00:00,294.07,305.2,290.66,304.19,19232331,7.3213911514,7.5984921257,7.2364931889,7.5733463949,769293240,0.0,1.0
NVDA,2020-02-24 00:00:00+00:00,273.28,281.87,268.0,270.19,21422873,6.8037874447,7.0176506405,6.672332535,6.7268564464,856914920,0.0,1.0
NVDA,2020-02-25 00:00:00+00:00,262.05,278.79,257.96,276.3,26387442,6.524196794,6.9409686098,6.4223690326,6.8789756695,1055497680,0.0,1.0
NVDA,2020-02-26 00:00:00+00:00,267.65,275.45,262.0,262.06,18741536,6.6636186679,6.8578134208,6.5229519559,6.5244457617,749661440,0.0,1.0
NVDA,2020-02-27 00:00:00+00:00,252.6,267.0,248.89,254.9,22660373,6.292905864,6.6516463408,6.2004803661,6.3502046901,906414920,0.16,1.0
NVDA,2020-02-28 00:00:00+00:00,270.07,272.46,241.79,242.46,28366882,6.7281278175,6.7876687716,6.0236013811,6.0402927782,1134675280,0.0,1.0
NVDA,2020-03-02 00:00:00+00:00,276.43,277.59,261.0,276.9,22268639,6.886571528,6.9154700664,6.5021711421,6.8982804186,890745560,0.0,1.0
